18:07:00 ~ 18:07:02	那這樣我今天準備一份簡報
18:07:02 ~ 18:07:05	然後稍微跟老師們報告了一下
18:07:05 ~ 18:07:06	我之前做了
18:07:06 ~ 18:07:09	我之前做過了一些物理網的一些設備的部分
18:07:09 ~ 18:07:16	以及我現在目前研究的一個方向以及收割的一個情況
18:07:16 ~ 18:07:18	那我是方位老師的博士生
18:07:18 ~ 18:07:20	對 那是劉套元
18:07:21 ~ 18:07:23	那在學經歷的部分
18:07:23 ~ 18:07:26	我是和我做辦是
18:07:27 ~ 18:07:29	那個北科反共畢業的
18:07:29 ~ 18:07:31	那優慮是因為就是
18:07:31 ~ 18:07:34	數班畢業之後有在工作一段時間
18:07:34 ~ 18:07:37	那再回來就讀夥伴這樣
18:07:37 ~ 18:07:39	那我自己本身因為反共背景
18:07:39 ~ 18:07:40	那我這邊有一個
18:07:41 ~ 18:07:43	環境工程計師的一個自務所
18:07:43 ~ 18:07:46	然後我是從107年職業到現在
18:07:46 ~ 18:07:48	對 那其實是入入續續的有一些
18:07:49 ~ 18:07:50	接環境工程方面的一些
18:07:51 ~ 18:07:53	輕症方面的一些工作的部分
18:07:55 ~ 18:07:57	那在食物的這個部分的話
18:07:57 ~ 18:08:00	我有環境工程計師的證照機制造
18:08:00 ~ 18:08:01	對 那我有一些
18:08:02 ~ 18:08:04	我的證照比較平常是反共方面的
18:08:04 ~ 18:08:06	那在說在研究所的時期
18:08:06 ~ 18:08:08	我有去取得一個那個
18:08:08 ~ 18:08:12	ISO 91067之一那個產品探除機
18:08:12 ~ 18:08:13	那個量化的這個制造
18:08:14 ~ 18:08:15	對 我的這個證照
18:08:16 ~ 18:08:19	對 那剛好跟最近的用低探勇序的
18:08:19 ~ 18:08:21	一直以來還蠻符合的
18:08:21 ~ 18:08:23	那在工作經驗的部分
18:08:23 ~ 18:08:25	其實我大學畢業之後
18:08:26 ~ 18:08:28	對 我大學畢業其實也是工作一段時間
18:08:28 ~ 18:08:30	在回家練數班
18:08:30 ~ 18:08:33	然後現在後來又在工作一段時間
18:08:33 ~ 18:08:34	在回來練博班這樣
18:08:34 ~ 18:08:38	那從數班畢業之後
18:08:38 ~ 18:08:39	我一開始是在做了
18:08:40 ~ 18:08:41	那個環境部分公司
18:08:42 ~ 18:08:43	當然是計劃經理
18:08:43 ~ 18:08:46	那以及一些後面一些比較開發的
18:08:47 ~ 18:08:49	工程公司當中主人工程師
18:08:49 ~ 18:08:50	那後面就是做一下
18:08:50 ~ 18:08:51	IOT這個部分
18:08:52 ~ 18:08:53	包括了設計規劃測試
18:08:53 ~ 18:08:56	已經往站著旁邊的一些回化這樣
18:08:58 ~ 18:08:59	那目前的話
18:08:59 ~ 18:09:00	我比較
18:09:01 ~ 18:09:02	比較
18:09:03 ~ 18:09:05	比較專注於在做一些物點網狀
18:09:05 ~ 18:09:05	這些開發
18:09:06 ~ 18:09:07	對 那這樣比較
18:09:08 ~ 18:09:10	明顯比較明確
18:09:10 ~ 18:09:12	現在我再持續在推動跟運作的
18:09:12 ~ 18:09:13	一些作品
18:09:13 ~ 18:09:15	像是水沙和2019年的水沙盒
18:09:15 ~ 18:09:17	是跟中興工程做了一個
18:09:18 ~ 18:09:19	飛兔寶石的一個
18:09:20 ~ 18:09:21	一個監測裝置
18:09:21 ~ 18:09:23	對 然後還有開源的垃圾水盒子
18:09:24 ~ 18:09:24	那在
18:09:25 ~ 18:09:27	學校這邊的話之前有跟
18:09:27 ~ 18:09:28	那個IPCS的
18:09:29 ~ 18:09:31	那邊去合作了開發的一個
18:09:31 ~ 18:09:32	威脅器站在這部分
18:09:33 ~ 18:09:34	那
18:09:34 ~ 18:09:35	專利的部分呢
18:09:35 ~ 18:09:37	因為是跟外面的
18:09:37 ~ 18:09:38	公司合作
18:09:38 ~ 18:09:40	那在水沙和以及
18:09:40 ~ 18:09:41	飛兔寶這邊的話
18:09:41 ~ 18:09:44	其實有一些的專利的這個部分
18:09:44 ~ 18:09:45	那
18:09:45 ~ 18:09:48	另外一個在說班的論文這個部分的話
18:09:48 ~ 18:09:50	是因為剛好
18:09:50 ~ 18:09:51	是做完
18:09:51 ~ 18:09:53	因為那時候是做主要是針對
18:09:53 ~ 18:09:54	做室內空氣品質
18:09:54 ~ 18:09:55	這個
18:09:56 ~ 18:09:57	這個烏來源的分析以及
18:09:57 ~ 18:09:59	一個評估一個方式
18:09:59 ~ 18:10:00	那老師就
18:10:00 ~ 18:10:02	好門的論文把它
18:10:02 ~ 18:10:04	去申請個專利這個
18:10:04 ~ 18:10:05	部分
18:10:05 ~ 18:10:07	那所以這裡是我第一個專利
18:10:08 ~ 18:10:09	那在
18:10:09 ~ 18:10:10	護外
18:10:10 ~ 18:10:12	因為我之前比較平常做環境領域的
18:10:12 ~ 18:10:13	所以我的
18:10:14 ~ 18:10:16	我的設備大部分都是放在護外
18:10:16 ~ 18:10:18	那護外其實有兩個大動員
18:10:18 ~ 18:10:19	一個是訊號一個是電源
18:10:20 ~ 18:10:20	那
18:10:21 ~ 18:10:23	我目前的裝置基本上都可以
18:10:23 ~ 18:10:25	在護外鐵去的直覺運作
18:10:25 ~ 18:10:27	那其實我覺得在護外電源
18:10:27 ~ 18:10:28	省電這個部分其實是一個
18:10:28 ~ 18:10:29	非常重要的主題
18:10:29 ~ 18:10:31	那像是在
18:10:32 ~ 18:10:34	微型像站以及
18:10:34 ~ 18:10:36	那個水盒子這個部分
18:10:36 ~ 18:10:38	其實有稍微設計過了一個新的電路
18:10:38 ~ 18:10:39	那這邊其實就是
18:10:40 ~ 18:10:43	運作的一個電路的能耗的一個情況
18:10:43 ~ 18:10:44	像是在睡眠的
18:10:44 ~ 18:10:46	稍微其實是非常低的電壓
18:10:46 ~ 18:10:47	是非常低的電流
18:10:47 ~ 18:10:49	跟不用低的功耗在
18:10:49 ~ 18:10:51	在進入睡眠狀態的
18:10:51 ~ 18:10:52	然後在醒來的時候
18:10:52 ~ 18:10:53	他會
18:10:53 ~ 18:10:54	他會不有
18:10:55 ~ 18:10:56	讀取先生的一個狀態機
18:10:56 ~ 18:10:57	只要上傳的狀態
18:10:58 ~ 18:10:59	那我可以藉由
18:10:59 ~ 18:11:00	拉長睡眠時間
18:11:00 ~ 18:11:01	這個階段呢
18:11:01 ~ 18:11:02	去把整個的
18:11:02 ~ 18:11:04	整體功耗就做一個貪屏
18:11:04 ~ 18:11:05	這個部分
18:11:05 ~ 18:11:07	那這就是我整個
18:11:07 ~ 18:11:07	以NTV我不會
18:11:07 ~ 18:11:09	Q這個微型像站來講
18:11:09 ~ 18:11:11	他的功耗一個變化也可以情況
18:11:11 ~ 18:11:11	對
18:11:11 ~ 18:11:12	那他在起來的時候
18:11:12 ~ 18:11:14	其實他電壓機的會受到
18:11:14 ~ 18:11:15	稍微受到一個影響
18:11:15 ~ 18:11:16	不過整體來講其實
18:11:16 ~ 18:11:17	倒是可以
18:11:17 ~ 18:11:18	持續運作的
18:11:19 ~ 18:11:20	那在於
18:11:21 ~ 18:11:23	然後在於價次位置的話
18:11:23 ~ 18:11:24	其實會受到太陽
18:11:24 ~ 18:11:26	照太陽的情
18:11:26 ~ 18:11:27	太陽足夠的一個
18:11:27 ~ 18:11:28	他一心
18:11:28 ~ 18:11:29	所以他對於太陽能板機
18:11:29 ~ 18:11:30	只是
18:11:30 ~ 18:11:31	也還滿
18:11:32 ~ 18:11:33	在台北這邊來
18:11:33 ~ 18:11:35	其實是滿不好控制的
18:11:35 ~ 18:11:35	對
18:11:35 ~ 18:11:36	那其實在
18:11:37 ~ 18:11:37	微型像站的話
18:11:37 ~ 18:11:39	在台北長的這邊的話
18:11:39 ~ 18:11:40	其實在
18:11:40 ~ 18:11:42	2021年的2月的時候
18:11:42 ~ 18:11:42	其實有
18:11:42 ~ 18:11:44	可以在戶外是為了一個連續的
18:11:45 ~ 18:11:46	病座
18:11:46 ~ 18:11:48	然後這邊是一個連續運作的一個曲線
18:11:48 ~ 18:11:50	可是他開始4天的一個
18:11:50 ~ 18:11:52	電壓跟電流的變化情況
18:11:52 ~ 18:11:53	那看得出來
18:11:53 ~ 18:11:54	其實如果
18:11:54 ~ 18:11:55	回到幾天的話
18:11:55 ~ 18:11:56	他的電壓是
18:11:56 ~ 18:11:57	都可以衝回來了
18:12:00 ~ 18:12:01	那除了
18:12:01 ~ 18:12:02	戶外的一個
18:12:03 ~ 18:12:04	IOT的裝置之外
18:12:04 ~ 18:12:06	那在去年有跟曾經小師
18:12:07 ~ 18:12:07	的團隊
18:12:07 ~ 18:12:08	一起合作
18:12:08 ~ 18:12:09	去做那個
18:12:10 ~ 18:12:11	鼻子養抑的
18:12:11 ~ 18:12:13	多離子養抑的一個設備
18:12:13 ~ 18:12:15	這個開發以及市場的驗證
18:12:15 ~ 18:12:16	對
18:12:16 ~ 18:12:16	那
18:12:16 ~ 18:12:18	我這邊在做
18:12:18 ~ 18:12:18	的部分
18:12:18 ~ 18:12:20	我主要是在
18:12:21 ~ 18:12:22	幫他們把整個
18:12:22 ~ 18:12:25	整個設備的運作的架構
18:12:25 ~ 18:12:26	整個進行一個
18:12:26 ~ 18:12:27	重新的
18:12:27 ~ 18:12:29	重新的整體
18:12:29 ~ 18:12:30	然後並且把一些
18:12:30 ~ 18:12:31	比較業界常用的一些
18:12:32 ~ 18:12:33	那個
18:12:33 ~ 18:12:35	ADC的晶片把放進來
18:12:35 ~ 18:12:36	他增加那個
18:12:36 ~ 18:12:38	增加設備
18:12:38 ~ 18:12:41	增加他訓號讀取的穩定的
18:12:41 ~ 18:12:42	穩定的情況
18:12:42 ~ 18:12:44	減少他的雜訓的部分
18:12:45 ~ 18:12:45	對
18:12:45 ~ 18:12:47	那這個是右邊這兩張讀書
18:12:47 ~ 18:12:48	目前
18:12:48 ~ 18:12:49	正在目前
18:12:50 ~ 18:12:50	那個
18:12:50 ~ 18:12:52	英里學姐他在
18:12:52 ~ 18:12:53	運領我們
18:12:53 ~ 18:12:55	現在在使用運作的一個場域
18:12:55 ~ 18:12:57	現在正在兩側當中
18:12:59 ~ 18:13:01	那在整個過程當中
18:13:01 ~ 18:13:01	因為有
18:13:02 ~ 18:13:03	放了新的ADC的晶片
18:13:03 ~ 18:13:05	所以其實可以看到出
18:13:05 ~ 18:13:05	我這
18:13:07 ~ 18:13:08	可以看
18:13:12 ~ 18:13:13	可以看到這個
