20:04:00 ~ 20:04:05	大家請問大家有看到我的簡報的話面嗎
20:04:05 ~ 20:04:06	有
20:04:06 ~ 20:04:07	有看什麼
20:04:07 ~ 20:04:08	有
20:04:08 ~ 20:04:09	好 謝謝
20:04:09 ~ 20:04:11	各位老師大家晚安
20:04:11 ~ 20:04:14	我是今天的報告者劉少冤
20:04:14 ~ 20:04:17	我是那個方偉方的
20:04:17 ~ 20:04:19	方偉老師的學生
20:04:19 ~ 20:04:21	那今年要申請那個
20:04:21 ~ 20:04:23	今年是不是半三年級要申請資格考
20:04:23 ~ 20:04:26	那這次會議是這個好的會議會
20:04:26 ~ 20:04:28	跟老師稍微介紹一下
20:04:28 ~ 20:04:32	我現在在做的部分跟我的一些背景
20:04:36 ~ 20:04:39	好 首先先介紹一下我之前的背景
20:04:39 ~ 20:04:42	因為我是還工背景的
20:04:42 ~ 20:04:45	就是從北科 北科的還工所畢業
20:04:45 ~ 20:04:48	那自己是在進來
20:04:48 ~ 20:04:49	升級系裡面
20:04:49 ~ 20:04:51	求學之前我都是做還工領域的
20:04:51 ~ 20:04:54	對 那我自己也是有那個通路國考
20:04:54 ~ 20:04:57	這考試那有只有成立一個
20:04:57 ~ 20:04:58	還有一個還工記師四所
20:04:58 ~ 20:05:01	然後有在做一些環境工程方面的
20:05:01 ~ 20:05:05	一些的職業的一些天政這部分
20:05:05 ~ 20:05:06	所以其實大部分的背景
20:05:06 ~ 20:05:09	但之前大部分的領域都是比較偏向環境
20:05:09 ~ 20:05:12	保護跟環境工程這一塊
20:05:12 ~ 20:05:14	那我的
20:05:14 ~ 20:05:15	我因為有通路國考
20:05:15 ~ 20:05:18	所以我學我環境記師的正好跟執照
20:05:18 ~ 20:05:23	那也是一些土壤無廟調查的一些執照跟
20:05:23 ~ 20:05:26	S114067這個部分是那樣探主機
20:05:26 ~ 20:05:29	MBI的探主機盤查這個部分
20:05:29 ~ 20:05:32	那我的工作經歷在之前都是比較偏向式
20:05:32 ~ 20:05:34	環境顧問業
20:05:34 ~ 20:05:37	對 那就是可能是一些
20:05:37 ~ 20:05:39	政府專案的一些計畫計畫經理
20:05:39 ~ 20:05:43	或者是一些後期的話
20:05:43 ~ 20:05:45	就是再做一些水質感測的部分
20:05:45 ~ 20:05:46	以及IOT這一塊
20:05:48 ~ 20:05:50	那在專利跟作品這部分的話
20:05:50 ~ 20:05:54	是很容易就是在做班的說實論文的時候
20:05:54 ~ 20:05:56	是老師有八五的說實論文
20:05:56 ~ 20:05:59	還有一些學章界的說實論文
20:05:59 ~ 20:06:02	然後把它整合起來做一個做申請一個專利
20:06:02 ~ 20:06:04	那這個專利就是做室內控機品質的一些
20:06:04 ~ 20:06:07	污染的來源跟一些分析的一個方法
20:06:07 ~ 20:06:11	對 那就是比較做後面的一個評估的
20:06:11 ~ 20:06:13	一個方式這樣
20:06:13 ~ 20:06:15	那在在作品的部分的話
20:06:15 ~ 20:06:19	就是有在做一些IOT的裝置像做水沙河
20:06:19 ~ 20:06:22	跟外面故宮是做的水沙河跟
20:06:22 ~ 20:06:23	就像
20:06:23 ~ 20:06:25	我一個IKCS一起合作的做一個微型器
20:06:25 ~ 20:06:28	很理由否則一個微型器讓戰這個部分
20:06:28 ~ 20:06:32	對 那也很容易性行跟它整理造成一些
20:06:32 ~ 20:06:35	就是它的推薦跟引導之下
20:06:35 ~ 20:06:37	有把那個水河子就變做出來
20:06:37 ~ 20:06:39	它就系統結合之後
20:06:39 ~ 20:06:43	有把水的這個領域去把它完成這個部分
20:06:44 ~ 20:06:48	那在之前都是比較做偏向做還工的部分
20:06:48 ~ 20:06:52	做還工這個領域 那做呼呼外檔的硬監測
20:06:52 ~ 20:06:54	那其實在現在的基礎來講
20:06:54 ~ 20:06:56	我這邊稍微跟大家介紹一下
20:06:56 ~ 20:06:57	為什麼
20:06:57 ~ 20:06:59	可以做到呼呼外的環境延長
20:06:59 ~ 20:07:01	因為其實呼呼外的話
20:07:01 ~ 20:07:04	通常就是在一個比較人營洗手的地方
20:07:04 ~ 20:07:08	就是沒有通常是沒有電
20:07:08 ~ 20:07:10	或者是沒有網路線
20:07:10 ~ 20:07:13	對 那現在通訊部分其實是相對比較好解決的
20:07:13 ~ 20:07:14	有市具有
20:07:14 ~ 20:07:16	也比較貼無線通訊的方式
20:07:16 ~ 20:07:20	那在電源的部分其實有在
20:07:20 ~ 20:07:21	微信器上在水河子的部分
20:07:21 ~ 20:07:23	其實有設計了一些的電路
20:07:23 ~ 20:07:25	那這邊的話就是可以看到說
20:07:25 ~ 20:07:28	在整個一次的運作週期的時候
20:07:28 ~ 20:07:30	其實可以看到它用電的一種狀況
20:07:30 ~ 20:07:32	那電池放電的這部分就是
20:07:32 ~ 20:07:35	如果它真的會就是電池充電中
20:07:35 ~ 20:07:36	如果是速的話
20:07:36 ~ 20:07:38	就是表示電池真的放電中
20:07:38 ~ 20:07:39	那這樣其實是可以看到說
20:07:39 ~ 20:07:42	在睡眠的時候它的敗氣的時候
20:07:42 ~ 20:07:44	其實它的口水非常小的
20:07:44 ~ 20:07:47	那我是利用這個方式去浪
20:07:47 ~ 20:07:48	機器可以透過太陽能板
20:07:48 ~ 20:07:50	可以再持續它互換一個
20:07:50 ~ 20:07:53	具體運作長時間的運作這樣
20:07:53 ~ 20:07:55	那這個是大概是
20:07:55 ~ 20:07:58	四安天的運作結果
20:07:58 ~ 20:07:59	可以看到說有太陽的時候
20:07:59 ~ 20:08:01	其實電力是可以
20:08:01 ~ 20:08:02	它的電對電是來講
20:08:02 ~ 20:08:04	它是有充電的
20:08:04 ~ 20:08:07	它其實是音天它也是稍微有充電
20:08:07 ~ 20:08:09	但是這些的只都是每個
20:08:09 ~ 20:08:11	大概20分鐘或者30分鐘的
20:08:12 ~ 20:08:14	順時的一個監測資料
20:08:14 ~ 20:08:16	那在中間代替的時候
20:08:16 ~ 20:08:20	其實其實其實兩都是在充電當中
20:08:20 ~ 20:08:22	那今年在從去
20:08:22 ~ 20:08:23	然後就很流淺加入大家
20:08:23 ~ 20:08:25	曾經小時的團隊
20:08:25 ~ 20:08:28	然後去做兩億離子的一個
20:08:28 ~ 20:08:31	分析的一個計劃的部分
20:08:31 ~ 20:08:33	那我就是在
20:08:33 ~ 20:08:35	就是稍微把之前的聖課
20:08:35 ~ 20:08:37	到做一個一體方面的一個
20:08:37 ~ 20:08:40	運作架構的一個重構
20:08:40 ~ 20:08:41	那今年的話也是在
